scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,avg_unmet_demand,price_volatility,spatial_imbalance,imbalance_persistence,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,delta_intervention,adaptive_active_ratio,service_rate,demand_supply_mismatch,persistence_demand_supply_mismatch,vehicle_concentration
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,7,500,172113.61908676213,1434.280159056351,0.4370166666666666,0.4088210789418871,15.702,5.329127263124283,0.11152777777777778,0.034,0.1983471074380165,0.552,0.0,83,2.0,0.068,0.5911789210581129,0.11152777777777778,0.034,14.739122458264955
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,8,500,158814.60812915512,1323.4550677429593,0.4289333333333333,0.4147032586451172,15.806,4.884734998188106,0.11322222222222222,0.048,0.2173038229376257,0.59,0.0,89,2.0,0.086,0.5852967413548827,0.11322222222222222,0.048,15.746469969376461
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,9,500,172251.30809650192,1435.4275674708492,0.42,0.4397886776816698,16.982,5.772614904828657,0.11623333333333334,0.084,0.1963562753036437,0.594,0.0,89,2.0,0.152,0.5602113223183302,0.11623333333333334,0.084,15.923119540113486
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,10,500,154164.5464491863,1284.704553743219,0.4313666666666667,0.399248523886205,14.876,5.387475582640038,0.11133333333333334,0.034,0.2089249492900608,0.572,0.002,107,2.0,0.094,0.600751476113795,0.11133333333333334,0.034,15.276770113191377
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,11,500,165372.88742695082,1378.1073952245902,0.42235,0.4275909402882635,16.198,7.043918940912178,0.11451111111111112,0.066,0.1923076923076923,0.616,0.0,80,2.0,0.138,0.5724090597117364,0.11451111111111112,0.066,15.757225015618532
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,12,500,159025.7053599915,1325.2142113332625,0.4321666666666666,0.4289720579237202,16.826,6.006453955922016,0.11354166666666667,0.07,0.2158859470468432,0.544,0.002,110,2.0,0.11,0.5710279420762798,0.11354166666666667,0.07,15.567596714977435
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,13,500,151587.47478976907,1263.228956581409,0.4310666666666666,0.397722980629148,14.742,5.753651571504969,0.11108611111111111,0.044,0.2352941176470588,0.54,0.008,83,2.0,0.102,0.602277019370852,0.11108611111111111,0.044,15.128975030978767
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,14,500,162937.31734154176,1357.8109778461812,0.4272166666666667,0.4255363250077728,16.424,5.385864536013557,0.11453611111111112,0.04,0.2008032128514056,0.594,0.0,81,2.0,0.084,0.5744636749922272,0.11453611111111112,0.04,15.402994161400965
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,15,500,149430.8988812383,1245.2574906769858,0.4398166666666667,0.3865868134239775,14.33,7.059257828738026,0.10953055555555556,0.048,0.2088353413654618,0.556,0.0,72,2.0,0.102,0.6134131865760224,0.10953055555555556,0.048,15.486643187031575
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,16,500,169153.78770356256,1409.614897529688,0.4167333333333333,0.4529874942102825,17.604,6.0116719919374475,0.11748611111111111,0.072,0.2251521298174442,0.6,0.0,110,2.0,0.136,0.5470125057897175,0.11748611111111111,0.072,16.532404736359357
